Code,College Name,Type,SM,EW,EZ,MU,BH,LA,DV,VK,BX,KU,KN,SC,ST,Course,Year
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,52367,0,41951,39952,42434,26683,46277,46906,0,0,0,45722,0,Artificial Intelligence and Data Science,2020
MES,"M E S College of Engineering, Kuttippuram.",S,49284,0,45644,27131,33164,29885,0,0,0,0,0,46765,0,Artificial Intelligence and Data Science,2020
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,12085,0,22712,22579,0,0,8899,26837,0,0,0,53144,0,Artificial Intelligence and Data Science,2020
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,46603,0,37983,28702,37893,36675,0,0,38538,0,0,0,0,Artificial Intelligence and Data Science,2020
VML,"Vimal Jyothi Engineering College, Chemperi.",S,49603,0,31992,35557,0,0,0,0,0,0,34616,52919,0,Artificial Intelligence and Data Science,2020
KKE,"Govt. Engineering College, Kozhikkode.",G,21620,46141,25405,24415,35189,38169,33699,25196,40405,0,0,49154,48687,Applied Electronics & Instrumentation,2020
TVE,"College of Engineering,Thiruvananthapuram.",G,4941,8206,3281,4669,3389,4810,43391,4980,7258,11712,11222,45975,27428,Applied Electronics & Instrumentation,2020
LBT,"LBS Institute of Tech. for Women, Poojapura, TVPM",N,52046,40017,29879,36363,29215,52046,0,0,0,0,0,52067,0,Applied Electronics & Instrumentation,2020
KMC,"KMCT College of  Engineering, Kozhikkode.",S,52303,0,0,35912,0,0,0,0,0,0,0,52644,0,Applied Electronics & Instrumentation,2020
MZC,"Mount Zion College of Engg., Pathanamthitta.",S,53072,0,53072,0,0,0,0,0,0,0,0,0,0,Applied Electronics & Instrumentation,2020
PAA,"P A Aziz College of Engineering, Karakulam, Thiruvananthapuram",S,52733,0,0,0,0,0,0,0,0,0,0,0,0,Applied Electronics & Instrumentation,2020
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,46510,0,41117,38355,0,0,33598,0,0,0,0,0,0,Applied Electronics & Instrumentation,2020
VML,"Vimal Jyothi Engineering College, Chemperi.",S,51146,0,51146,50783,33036,0,0,0,0,0,0,0,0,Applied Electronics & Instrumentation,2020
KCT,"Kelappaji College ofAgrl. Engg. & Technology, Tavanur.",G,8006,13483,11435,9272,14818,19513,14144,11036,0,0,0,23369,51212,Agricultural Engineering,2020
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,50853,0,29452,30653,19397,41654,0,0,35701,0,0,45980,0,Artificial Intelligence,2020
ILE,"ILM College of Engineering, Perumbavoor, Ernakulam.",S,51741,0,38801,45363,0,0,45708,24199,0,0,36719,52796,33585,Aeronautical  Engineering,2020
JCE,"Jawaharlal College of Engineering & Technology, Ottappalam.",S,52539,0,49712,46806,47097,30984,46040,28578,0,0,0,52457,0,Aeronautical  Engineering,2020
MHP,"Ace College of Engineering, .Thiruvallam.",S,51501,0,42601,44636,36604,15708,0,0,25290,0,0,50649,0,Aeronautical  Engineering,2020
MZC,"Mount Zion College of Engg., Pathanamthitta.",S,48014,0,46638,46088,0,0,46040,49412,0,0,0,52865,0,Aeronautical  Engineering,2020
RIE,"Rajadhani Institute of Engineering & Tech., Attingal.",S,52146,52146,47015,46813,21702,48573,0,0,0,0,0,51501,0,Aeronautical  Engineering,2020
AAE,"AlAzhar College of Engineering & Technology, Thodupuzha.",S,51774,0,41087,39111,0,0,0,38214,0,0,0,52335,0,Automobile Engineering,2020
KIT,"Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.",S,51324,0,48452,46718,0,0,0,0,0,0,0,51324,0,Automobile Engineering,2020
KMC,"KMCT College of  Engineering, Kozhikkode.",S,53215,0,42644,40100,0,0,0,49850,0,0,0,52176,0,Automobile Engineering,2020
MEC,"Malabar College of Engineering & Tech., Wadakancherry.",S,52743,0,50473,45024,0,50365,0,0,0,0,0,0,0,Automobile Engineering,2020
SCM,"SCMS School of Engg. & Tech., Ernakulam",S,51141,0,47009,38265,0,0,0,39856,0,0,0,52951,0,Automobile Engineering,2020
SCT,"S C T College of Engineering, Pappanamcode, TVPM",N,10643,19481,20008,17187,11188,20441,0,0,25290,33784,14450,45975,0,Bio Technology and Biochemical Engineering,2020
MCT,"Mohandas College of Engg. & Tech., Nedumangad, TVM",S,53151,37412,31298,30174,29624,40952,33412,28677,0,0,0,45559,0,Bio Technology and Biochemical Engineering,2020
SBC,"Sree Buddha College of Engineering, Nooranadu.",S,46332,43617,48794,36336,27939,29415,0,0,0,0,0,44661,0,Bio Technology and Biochemical Engineering,2020
KMW,"KMCT College of  Engineering for Women, Manassery.",S,44998,26266,48481,47262,0,0,39318,36009,40162,0,0,53169,35068,Bio Medical Engineering,2020
SHR,"Sahrdaya College of Engineering and Technology, Kodakara.",S,27145,0,41427,28359,30850,40760,0,0,0,0,52719,52644,0,Bio Medical Engineering,2020
TKI,"T K M Institute of Technology, Ezhukone, Kollam.",S,32923,0,40473,45472,34315,33118,45768,45671,0,0,0,52865,46829,Bio Medical Engineering,2020
MET,"Met's School of Engineering, Mala.",S,38000,36944,44057,41918,31548,43822,0,0,0,0,0,45795,0,Bio Technology,2020
SHR,"Sahrdaya College of Engineering and Technology, Kodakara.",S,29423,0,44657,42960,0,0,29504,41967,46753,0,0,49516,52350,Bio Technology and Biochemical Engineering,2020
KKE,"Govt. Engineering College, Kozhikkode.",G,12013,21431,14085,12502,13050,19563,17076,17816,0,31224,48278,40359,42324,Civil Engineering,2020
KNR,"Govt. College of Engineering, Kannur.",G,10240,15053,11005,13403,10762,12079,24763,9645,16612,51962,42240,36004,30114,Civil Engineering,2020
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam.",G,12956,16724,13751,15405,11319,19769,12816,9259,9851,0,0,33250,52474,Civil Engineering,2020
MAC,"M A College of Engineering, Kothamangalam.",G,12573,0,15930,16221,15052,17223,48186,13563,9056,23177,0,46228,44414,Civil Engineering,2020
NSS,"N S S College of Engineering, Palakkad.",G,13920,22870,17646,14902,18879,33656,46901,20064,22594,45323,52649,42668,53064,Civil Engineering,2020
PKD,"Govt. Engineering College, Sreekrishnapuram.",G,17581,29462,19099,13134,21490,28561,39073,24832,23375,39917,38957,42010,44447,Civil Engineering,2020
TCR,"Govt. Engineering College,Thrissur.",G,8744,12886,8204,7153,8040,13137,11001,8155,21839,15265,6758,27461,47810,Civil Engineering,2020
TKM,"T K M College of Engineering, Kollam.",G,8424,0,7526,6402,6076,8571,16450,13081,11193,25925,50432,33039,36737,Civil Engineering,2020
TRV,"Govt. Engineering College, Barton Hills, TVM",G,10545,11010,8456,7589,7792,9223,12509,14728,7710,0,0,33398,34861,Civil Engineering,2020
TVE,"College of Engineering,Thiruvananthapuram.",G,5453,6277,4372,4191,3890,4885,8728,5662,5631,36682,5430,26183,47931,Civil Engineering,2020
AEC,"College of Engineering, Aranmula, Pathanamthitta.",N,36264,36227,40075,41320,26564,36898,40822,47890,0,51408,52649,52875,51926,Civil Engineering,2020
CEM,"College of Engineering, Muttathara.",N,36093,33335,45205,51619,43185,43223,45690,30154,0,0,0,53074,0,Civil Engineering,2020
KGR,"College of Engineering, Kidangoor.",N,30995,46594,40546,44747,46243,24293,0,0,28089,0,47557,50139,0,Civil Engineering,2020
KSD,"LBS College of Engineering, Kasaragod.",N,28562,22788,36284,34102,28837,32766,44957,47694,0,0,0,45531,33350,Civil Engineering,2020
LBT,"LBS Institute of Tech. for Women, Poojapura, TVPM",N,13780,21989,16421,15396,14196,15837,23525,15514,0,0,0,42111,52474,Civil Engineering,2020
PEC,"College of Engineering, Pathanapuram.",N,35554,42666,42742,50683,36106,32410,0,0,44397,0,0,50848,0,Civil Engineering,2020
PRP,"College of Engineering & Management, Punnapra.",N,32734,29842,38843,37743,47341,47921,30584,25812,0,0,0,47014,41850,Civil Engineering,2020
TKR,"College of Engineering, Thrikarippur, Kasaragod.",N,35034,46521,36804,39450,35189,43052,39186,42682,40096,0,0,53061,50006,Civil Engineering,2020
TLY,"College of Engineering, Thalassery, Kannur.",N,25984,51941,26601,30102,26427,41731,46196,34599,0,0,42240,51448,47810,Civil Engineering,2020
VDA,"College of Engineering, Vadakara, Kozhikode.",N,28610,41830,30693,31832,29306,43378,30902,30977,0,0,0,49031,43452,Civil Engineering,2020
AAE,"AlAzhar College of Engineering & Technology, Thodupuzha.",S,53033,0,39855,37113,36539,44455,0,0,48420,0,0,52258,0,Civil Engineering,2020
AAP,"AlAmeen College of Engineering, Pattambi.",S,52102,0,46910,44276,45883,0,0,46887,0,0,0,52102,0,Civil Engineering,2020
AIK,"Albertian Institute of Science and Technology, Kalamassery.",S,51540,0,35255,44751,0,0,51540,46324,0,0,0,48579,0,Civil Engineering,2020
AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",S,51426,0,51426,49086,49693,31390,48186,52667,37440,0,0,45108,0,Civil Engineering,2020
AME,"Rajadhani Institute of Science and Technology, Palakkad",S,53203,0,50907,51245,0,0,0,0,0,0,0,53203,0,Civil Engineering,2020
ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",S,52505,42992,45413,42640,48244,41136,38904,29771,0,0,0,52505,46099,Civil Engineering,2020
ATP,"Ahalia School of Engineering & Technology, Pudussery, Palakkad.",S,48557,0,35594,36528,0,0,0,36433,0,0,0,41260,0,Civil Engineering,2020
AWH,"AWH Engineering College, Kozhikkode",S,51109,0,44360,44278,45583,39944,0,0,0,0,0,49180,0,Civil Engineering,2020
AXE,"Axis College of Engineering & Technology, Murikkingal, Thrissur.",S,52405,0,0,52533,0,0,0,0,0,0,0,53209,0,Civil Engineering,2020
BJK,"Bishop Jerome Institute, Kollam.",S,53155,0,48222,37584,53016,45162,0,0,0,0,0,53155,0,Civil Engineering,2020
BMC,"Baselios Mathew II College of Engg., Sasthamcotta, Kollam.",S,53163,0,29995,29351,0,0,38603,35457,0,0,0,53163,0,Civil Engineering,2020
CCE,"Christ College of Engineering, Irinjalakuda.",S,52386,0,37020,43273,30859,38711,0,0,0,0,0,52386,0,Civil Engineering,2020
CCV,"MGM College of Engineering and Pharmaceutical Sciences, Valanchery",S,52641,0,0,0,0,0,0,0,0,0,0,0,0,Civil Engineering,2020
CEN,"College of Engineering and Technology, Payyannur, Kannur.",S,52888,52123,48836,43600,41385,35574,0,30019,0,0,0,52176,0,Civil Engineering,2020
CKC,"Christ Knowledge City, Kuzhoor,EKM",S,53122,0,0,53198,0,0,0,0,0,0,0,53033,0,Civil Engineering,2020
CMA,"Carmel College of Engg. & Technology, Punnapra, Alappuzha.",S,44679,0,50981,32252,36188,38940,45768,31567,0,0,0,52296,0,Civil Engineering,2020
DMC,"M Dasan Memmorial Coop. Inst. of Engg. & Inf. Tech., Koyilandy.",S,53148,0,46443,45723,45326,0,47340,46005,0,0,0,53148,0,Civil Engineering,2020
ECE,"ICCS College of Engineering and Management, Thrissur",S,53097,0,0,0,0,0,0,0,0,0,0,0,0,Civil Engineering,2020
EKC,"Eranad Knowledgecity Technical Campus, Cherukulam, Manjeri",S,44896,0,44360,32181,47323,43440,0,0,0,0,0,49180,0,Civil Engineering,2020
FIT,"Federal Institute of Science & Tech., Angamaly.",S,50200,38375,42428,31394,33339,32854,48861,41190,0,0,0,48996,35382,Civil Engineering,2020
GIT,"Gurudeva Institute of Science & Technology, Puthuppally.",S,52581,0,0,0,0,0,0,0,0,0,0,0,0,Civil Engineering,2020
HCE,"Heera College of Engineering & Technology, Nedumangad.",S,52763,0,43272,35847,36855,0,0,0,0,0,0,52763,0,Civil Engineering,2020
HGW,"Holy Grace Academy of Engineering, Mala, Thrissur.",S,52144,0,0,0,0,0,0,0,0,0,0,52386,0,Civil Engineering,2020
ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",S,48482,0,0,45576,0,0,0,48482,0,0,0,0,0,Civil Engineering,2020
IES,"I E S College of Engineering, Chittilappilly.",S,52547,0,43431,41304,42582,0,0,0,0,0,0,52040,0,Civil Engineering,2020
IGW,"Indira Gandhi Inst. of Engineering & Tech., Kothamangalam",S,51694,0,34634,35642,0,0,0,40400,0,0,0,0,0,Civil Engineering,2020
ILE,"ILM College of Engineering, Perumbavoor, Ernakulam.",S,52762,0,51570,50128,0,0,0,0,0,0,0,52762,0,Civil Engineering,2020
JBT,"Jai Bharath College of Management & Engg. Tech., Perumbavoor.",S,51750,0,0,0,0,0,0,0,0,0,0,0,0,Civil Engineering,2020
JCE,"Jawaharlal College of Engineering & Technology, Ottappalam.",S,52393,0,41076,38536,0,0,0,46015,0,0,0,52393,0,Civil Engineering,2020
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,52613,0,38137,36262,37380,0,38904,41341,0,0,0,49744,0,Civil Engineering,2020
JIT,"John Cox Memorial CSI Institute of Technology, Thiruvananthapuram.",S,53125,0,49416,39467,38830,42553,0,0,0,0,0,49184,0,Civil Engineering,2020
KIT,"Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.",S,49721,0,0,0,0,0,0,0,0,0,0,49859,0,Civil Engineering,2020
KMC,"KMCT College of  Engineering, Kozhikkode.",S,53209,0,32055,30150,29796,0,0,0,0,0,0,49142,0,Civil Engineering,2020
KME,"K M E A Engineering College, Edathala.",S,52023,0,49170,47565,0,0,52023,0,0,0,0,51389,0,Civil Engineering,2020
KMW,"KMCT College of  Engineering for Women, Manassery.",S,53169,0,46111,35448,41434,0,0,0,0,0,0,53169,0,Civil Engineering,2020
LMC,"Lourdes Matha College of Science and Technology, Kuttichal.",S,52074,0,0,46669,0,0,0,47823,44891,0,0,52074,0,Civil Engineering,2020
MBC,"Mar Baselios Christian College of Engg. & Tech., Peermede.",S,52470,0,48652,52107,49582,0,0,0,0,0,0,51650,0,Civil Engineering,2020
MBI,"Mar Baselios Institute of Technology & Science, Kothamangalam.",S,51894,0,51894,42246,47739,45044,0,0,0,0,0,48557,0,Civil Engineering,2020
MBT,"Mar Baselious College of Engg. & Tech., Thiruvananthapuram.",S,43674,0,48386,51289,50965,36508,29211,32527,30228,0,49053,53125,44870,Civil Engineering,2020
